URL,popularity,song_title,year,lyrics
http://www.metrolyrics.com/its-the-end-of-the-world-as-we-know-it-and-i-feel-fine-lyrics-rem.html,5,It's The End Of The World As We Know It (and I Feel Fine) Lyrics,2014,"[""That's great, it starts with an earthquake\nBirds and snakes, an aeroplane, and Lenny Bruce is not afraid"", ""Eye of a hurricane, listen to yourself churn\nWorld serves its own needs, don't misserve your own needs\nFeed it up a knock, speed, grunt, no, strength\nThe ladder starts to clatter with a fear of height, down, height\nWire in a fire, represent the seven games\nAnd a government for hire and a combat site\nLeft her, wasn't coming in a hurry with the Furies breathing down your neck"", ""Team by team, reporters baffled, trumped, tethered, cropped\nLook at that low plane, fine, then\nUh-oh, overflow, population, common group\nBut it'll do, save yourself, serve yourself\nWorld serves its own needs, listen to your heart bleed\nTell me with the Rapture and the reverent in the right, right\nYou vitriolic, patriotic, slam fight, bright light\nFeeling pretty psyched"", ""It's the end of the world as we know it\nIt's the end of the world as we know it\nIt's the end of the world as we know it, and I feel fine"", ""Six o'clock, TV hour, don't get caught in foreign tower\nSlash and burn, return, listen to yourself churn\nLock him in uniform, book burning, bloodletting\nEvery motive escalate, automotive incinerate\nLight a candle, light a motive, step down, step down\nWatch your heel crush, crush, uh-oh\nThis means no fear, cavalier, renegade and steering clear\nA tournament, a tournament, a tournament of lies\nOffer me solutions, offer me alternatives, and I decline"", ""It's the end of the world as we know it (I had some time alone)\nIt's the end of the world as we know it (I had some time alone)\nIt's the end of the world as we know it, and I feel fine (It's time I had some time alone)\nI feel fine (I feel fine)"", ""It's the end of the world as we know it (It's time I had some time alone)\nIt's the end of the world as we know it (It's time I had some time alone)\nIt's the end of the world as we know it, and I feel fine (It's time I had some time alone)"", 'The other night I dreamt a nice continental drift divide\nMountains sit in a line, Leonard Bernstein\nLeonid Brezhnev, Lenny Bruce, and Lester Bangs\nBirthday party, cheesecake, jellybean, boom\nYou symbiotic, patriotic, slam but neck, right? Right', ""It's the end of the world as we know it (It's time I had some time alone)\nIt's the end of the world as we know it (It's time I had some time alone)\nIt's the end of the world as we know it, and I feel fine (It's time I had some time alone)"", ""It's the end of the world as we know it\nIt's the end of the world as we know it\nIt's the end of the world as we know it, and I feel fine (It's time I had some time alone)"", ""It's the end of the world as we know it (It's time I had some time alone)\nIt's the end of the world as we know it (It's time I had some time alone)\nIt's the end of the world as we know it, and I feel fine (It's time I had some time alone)"", ""It's the end of the world as we know it (It's time I had some time alone)\nIt's the end of the world as we know it (It's time I had some time alone)\nIt's the end of the world as we know it, and I feel fine (It's time I had some time alone)"", ""(It's time I had some time alone)""]"
http://www.metrolyrics.com/whats-the-frequency-kenneth-lyrics-rem.html,5,"What's The Frequency, Kenneth? Lyrics",2003,"['""What\'s the frequency, Kenneth?"" is your Benzedrine, uh-huh\nI was brain-dead, locked out, numb, not up to speed\nI thought I\'d pegged you an idiot\'s dream\nTunnel vision from the outsider\'s screen\nI never understood the frequency, uh-huh\nYou wore our expectations like an armored suit, uh-huh', ""I'd studied your cartoons, radio, music, TV, movies, magazines\nRichard said, Withdrawal in disgust is not the same as apathy\nA smile like the cartoon, tooth for a tooth\nYou said that irony was the shackles of youth\nYou wore a shirt of violent green, uh-huh\nI never understood the frequency, uh-huh"", ""What's the frequency, Kenneth? is your Benzedrine, uh-huh\nButterfly decal, rear-view mirror, dogging the scene\nYou smile like the cartoon, tooth for a tooth\nYou said that irony was the shackles of youth\nYou wore a shirt of violent green, uh-huh\nI never understood the frequency, uh-huh"", ""You wore our expectations like an armored suit, uh-huh\nI couldn't understand\nYou said that irony was the shackles of youth, uh-huh\nI couldn't understand\nYou wore a shirt of violent green, uh-huh\nI couldn't understand\nI never understood, don't fuck with me, uh-huh""]"
http://www.metrolyrics.com/everbody-hurts-lyrics-rem.html,5,Everbody Hurts Lyrics,2006,"[""When your day is long\nAnd the night, the night is yours alone\nWhen you're sure you've had enough\nOf this life, well hang on"", ""Don't let yourself go\n'Cause everybody cries\nAnd everybody hurts sometimes"", ""Sometimes everything is wrong\nNow it's time to sing along\nWhen your day is night alone (hold on, hold on)\nIf you feel like letting go (hold on)\nIf you think you've had too much\nOf this life, well hang on"", ""Cause everybody hurts\nTake comfort in your friends\nEverybody hurts\nDon't throw your hand, oh no"", ""Don't throw your hand\nIf you feel like you're alone\nNo, no, no, you are not alone"", ""If you're on your own in this life\nThe days and nights are long\nWhen you think you've had too much of this life to hang on"", 'Well, everybody hurts sometimes\nEverybody cries\nEverybody hurts sometimes\nAnd everybody hurts sometimes\nSo hold on, hold on\nHold on, hold on, hold on, hold on, hold on, hold on\nEverybody hurts']"
http://www.metrolyrics.com/radio-free-europe-lyrics-rem.html,5,Radio Free Europe Lyrics,2011,"[""Decide yourself if radio's gonna stay\nReason: it could polish up the gray\nPut that, put that, put that up your wall\nThat this isn't Country at all"", 'Radio station: decide yourself', ""Keep me out of Country and the word\nWheel of fortune's leading us: absurd\nPush that, push that, push that to the floor\nThat this isn't nothing at all"", 'Straight off the boat, where to go', 'Calling out in transit\nCalling out in transit\nRadio Free Europe (radio)', ""Decide: defy the media too fast\nInstead of pushing palaces to fall\nPut that, put that, put that up your wall\nThat this isn't fortunate at all"", 'Radio station: decide yourself', ""We're calling out in transit\nCalling out in transit\nRadio Free Europe (radio)"", ""Decide yourself: come in on a boat\nMedia's too fast\nKeep me out of Country and the word\nDisappointment into us: absurd"", 'Straight off the boat, where to go?', 'Calling out in transit\nCalling out in transit\nRadio Free Europe\nRadio Free Europe', 'Calling out in transit\nCalling out in transit\nRadio Free Europe\nRadio Free Europe']"
http://www.metrolyrics.com/drive-lyrics-rem.html,4,Drive Lyrics,2006,"['Smack, crack, bushwhacked\nTie another one to your racks, baby\nHey kids, rock and roll\nNobody tells you where to go, baby', 'What if I ride? What if you walk?\nWhat if you rock around the clock?\nTick-tock, tick-tock\nWhat if you did? What if you walk?\nWhat if you tried to get off, baby?', ""Hey, kids, where are you?\nNobody tells you what to do, baby\nHey kids, shake a leg\nMaybe you're crazy in the head, baby"", 'Maybe you did, maybe you walked\nMaybe you rocked around the clock\nTick-tock, tick-tock\nMaybe I ride, maybe you walk\nMaybe I drive to get off, baby', ""Hey kids, shake a leg\nMaybe you're crazy in the head, baby\nOllie, ollie, ollie ollie ollie\nOllie ollie in come free, baby\nHey, kids, where are you?\nNobody tells you what to do, baby"", 'Smack, crack, shack-a-lack\nTie another one to your backs, baby\nHey kids, rock and roll\nNobody tells you where to go, baby', 'Maybe you did, maybe you walk\nMaybe you rock around the clock\nTick-tock, tick-tock\nMaybe I ride, maybe you walk\nMaybe I drive to get off, baby', 'Hey kids, where are you?\nNobody tells you what to do, baby\nHey kids, rock and roll\nNobody tells you where to go, baby, baby, baby']"
http://www.metrolyrics.com/find-the-river-lyrics-rem.html,4,Find The River Lyrics,2014,[]
http://www.metrolyrics.com/shiny-happy-people-lyrics-rem.html,4,Shiny Happy People Lyrics,2011,"['Shiny happy people laughing', 'Meet me in the crowd, people, people\nThrow your love around, love me, love me\nTake it into town, happy, happy', 'Put it in the ground\nWhere the flowers grow\nGold and silver shine', 'Shiny happy people holding hands\nShiny happy people holding hands\nShiny happy people laughing', ""Everyone around, love them, love them\nPut it in your hands, take it, take it\nThere's no time to cry, happy, happy"", 'Put it in your heart\nWhere tomorrow shines\nGold and silver shine', 'Shiny happy people holding hands\nShiny happy people holding hands\nShiny happy people laughing', 'Hey, here we go', 'Shiny happy people holding hands\nShiny happy people holding hands\nShiny happy people laughing\nShiny happy people holding hands\nShiny happy people holding hands\nShiny happy people laughing\nShiny happy people holding hands\nShiny happy people holding hands\nShiny happy people laughing']"
http://www.metrolyrics.com/future-40s-string-of-pearls-lyrics-rem.html,4,Future 40's (string Of Pearls) Lyrics,2006,"[""Hey man I'm making moves\nand I am so much stronger than you.\nI am so much stronger,\nI am so much stronger than you.\nEverybody thinks the way that we thought,\nwe thought ahead and look what we got.\nI did not invent this world,\nCall my words a string of pearls.\nBut you will find the sheen\nloses all its luster.""]"
http://www.metrolyrics.com/uberlin-lyrics-rem.html,4,Uberlin Lyrics,2011,"['Hey now, take your pills and\nHey now, make your breakfast\nHey now, comb your hair and off to work\nCrash land, no illusions, no collision, no intrusion\nMy imagination runs away', 'I know, I know, I know what I am chasing\nI know, I know, I know that this is changing me', 'I am flying on a star into a meteor tonight\nI am flying on a star, star, star\nI will make it through the day\nAnd then the day becomes the night\nI will make it through the night', ""Hey now, take the U-Bahn, five stops, change the station\nHey now, don't forget that change will save you\nHey now, count a thousand-million people, that's astounding\nChasing through the city with their stars on bright"", 'I know, I know, I know what I am chasing\nI know, I know, I know that this is changing me', 'I am flying on a star into a meteor tonight\nI am flying on a star, star, star\nI will make it through the day\nAnd then the day becomes the night\nI will make it through the night', ""I don't mind repeating, I am not complete\nI have never been the gifted type\nHey, man, tell me something, are you off to somewhere?\nDo you want to go with me tonight?"", ""I know, I know, I know that this is changing\nWe walk the streets to feel the ground I'm chasing: Ã\x9cBerlin"", 'I am flying on a star into a meteor tonight\nI am flying on a star, star, star\nI will make it through the day\nAnd then the day becomes the night\nI will make it through the night']"
http://www.metrolyrics.com/imitation-of-life-lyrics-rem.html,3,Imitation Of Life Lyrics,2003,"['Charades, pop skill\nWater hyacinth\nNamed by a poet\nImitation of life', ""Like a koi in a frozen pond\nLike a goldfish in a bowl\nI don't want to hear you cry"", ""That sugarcane that tasted good\nThat's cinnamon, that's Hollywood\nCome on, come on\nNo one can see you try"", ""You want the greatest thing\nThe greatest thing since bread came sliced\nYou've got it all\nYou've got it sized\nLike a Friday fashion show teenager\nFreezing in the corner\nTrying to look like you don't try"", ""That sugarcane that tasted good\nThat's cinnamon, that's Hollywood\nCome on, come on\nNo one can see you try"", '(No one can see you cry)', ""That sugarcane that tasted good\nThat's freezing rain, that's what you could\nCome on, come on\nNo one can see you cry"", ""This sugarcane, this lemonade\nThis hurricane, I'm not afraid\nCome on, come on\nNo one can see me cry\nThis lightning storm, this tidal wave\nThis avalanche, I'm not afraid\nCome on, come on\nNo one can see me cry"", ""That sugarcane that tasted good\nThat's who you are, that's what you could\nCome on, come on\nNo one can see you cry"", ""That sugarcane that tasted good\nThat's who you are, that's what you could\nCome on, come on\nNo one can see you cry""]"
